 Renda média domiciliar per capita - Brasil
Renda média domic. per capita por Município
Período:2000
"Município";"Renda_média_domic._per_capita"
"270900 Tanque d'Arca";128,01
"270910 Taquarana";122,33
"270915 Teotônio Vilela";163,58
"270920 Traipu";82,90
"270930 União dos Palmares";181,44
"270940 Viçosa";180,58
"280010 Amparo de São Francisco";151,56
"280020 Aquidabã";176,81
"280030 Aracaju";694,14
"280040 Arauá";202,65
"280050 Areia Branca";172,77
"280060 Barra dos Coqueiros";248,33
"280067 Boquim";186,63
"280070 Brejo Grande";112,27
"280100 Campo do Brito";215,28
"280110 Canhoba";132,47
"280120 Canindé de São Francisco";184,44
"280130 Capela";154,33
"280140 Carira";178,58
"280150 Carmópolis";225,83
"280160 Cedro de São João";198,99
"280170 Cristinápolis";172,39
"280190 Cumbe";116,97
"280200 Divina Pastora";146,31
"280210 Estância";243,31
"280220 Feira Nova";125,07
"280230 Frei Paulo";242,24
"280240 Gararu";135,41
"280250 General Maynard";171,38
"280260 Gracho Cardoso";161,96
"280270 Ilha das Flores";130,61
"280280 Indiaroba";133,51
"280290 Itabaiana";265,54
"280300 Itabaianinha";170,58
"280310 Itabi";151,76
"280320 Itaporanga d'Ajuda";168,11
"280330 Japaratuba";193,21
"280340 Japoatã";146,01
"280350 Lagarto";215,78
"280360 Laranjeiras";172,04
"280370 Macambira";170,02
"280380 Malhada dos Bois";125,45
"280390 Malhador";182,31
"280400 Maruim";186,79
"280410 Moita Bonita";179,84
"280420 Monte Alegre de Sergipe";144,11
"280430 Muribeca";157,98
"280440 Neópolis";189,59
"280445 Nossa Senhora Aparecida";135,41
"280450 Nossa Senhora da Glória";217,33
"280460 Nossa Senhora das Dores";187,94
"280470 Nossa Senhora de Lourdes";139,63
"280480 Nossa Senhora do Socorro";224,70
"280490 Pacatuba";102,84
"280500 Pedra Mole";171,46
"280510 Pedrinhas";164,68
"280520 Pinhão";167,27
"280530 Pirambu";223,22
"280540 Poço Redondo";94,15
"280550 Poço Verde";163,79
"280560 Porto da Folha";116,55
"280570 Propriá";272,70
"280580 Riachão do Dantas";126,40
"280590 Riachuelo";173,91
"280600 Ribeirópolis";227,96
"280610 Rosário do Catete";227,77
"280620 Salgado";171,05
"280630 Santa Luzia do Itanhy";113,66
"280650 Santa Rosa de Lima";153,81
"280640 Santana do São Francisco";126,95
"280660 Santo Amaro das Brotas";174,51
"280670 São Cristóvão";252,23
"280680 São Domingos";157,54
"280690 São Francisco";160,83
"280700 São Miguel do Aleixo";135,72
"280710 Simão Dias";170,49
"280720 Siriri";182,18
"280730 Telha";151,30
"280740 Tobias Barreto";198,85
"280750 Tomar do Geru";115,45
"280760 Umbaúba";176,11
"290010 Abaíra";197,70
"290020 Abaré";160,41
"290030 Acajutiba";152,18
"290035 Adustina";172,37
"290040 Água Fria";113,68
"290060 Aiquara";176,29
"290070 Alagoinhas";356,46
"290080 Alcobaça";230,22
"290090 Almadina";163,40
"290100 Amargosa";243,11
"290110 Amélia Rodrigues";247,78
"290115 América Dourada";126,24
"290120 Anagé";121,16
"290130 Andaraí";165,67
"290135 Andorinha";150,03
"290140 Angical";140,42
"290150 Anguera";131,86
"290160 Antas";198,33
"290170 Antônio Cardoso";151,95
"290180 Antônio Gonçalves";143,23
"290190 Aporá";140,08
"290195 Apuarema";135,88
"290205 Araças";116,52
"290200 Aracatu";133,00
"290210 Araci";116,48
"290220 Aramari";190,60
"290225 Arataca";140,25
"290230 Aratuípe";163,61
"290240 Aurelino Leal";121,63
"290250 Baianópolis";153,22
"290260 Baixa Grande";144,40
"290265 Banzaê";132,99
"290270 Barra";111,07
"290280 Barra da Estiva";189,82
"290290 Barra do Choça";140,47
"290300 Barra do Mendes";176,49
"290310 Barra do Rocha";157,08
"290320 Barreiras";451,31
"290323 Barro Alto";148,36
"290330 Barro Preto";162,83
"290340 Belmonte";230,59
"290350 Belo Campo";196,00
"290360 Biritinga";160,23
"290370 Boa Nova";106,00
"290380 Boa Vista do Tupim";116,24
"290390 Bom Jesus da Lapa";251,04
"290395 Bom Jesus da Serra";99,62
"290400 Boninal";151,64
"290405 Bonito";149,01
"290410 Boquira";159,89
"290420 Botuporã";102,81
"290430 Brejões";201,29
"290440 Brejolândia";107,19
"290450 Brotas de Macaúbas";121,17
"290460 Brumado";266,69
"290470 Buerarema";168,75
"290475 Buritirama";77,28
"290480 Caatiba";131,95
"290485 Cabaceiras do Paraguaçu";128,67
"290490 Cachoeira";235,18
"290500 Caculé";288,45
"290510 Caém";126,28
"290515 Caetanos";121,28
"290520 Caetité";213,28
"290530 Cafarnaum";170,41
"290540 Cairu";157,16
"290550 Caldeirão Grande";116,34
"290560 Camacan";210,84
"290570 Camaçari";321,00
"290580 Camamu";157,32
"290590 Campo Alegre de Lourdes";123,61
"290600 Campo Formoso";178,98
"290610 Canápolis";161,10
"290620 Canarana";173,01
"290630 Canavieiras";237,58
"290640 Candeal";137,00
"290650 Candeias";294,48
"290660 Candiba";139,22
"290670 Cândido Sales";218,54
"290680 Cansanção";111,01
"290682 Canudos";148,66
"290685 Capela do Alto Alegre";212,21
"290687 Capim Grosso";207,79
"290689 Caraíbas";147,96
"290690 Caravelas";374,24
"290700 Cardeal da Silva";141,12
"290710 Carinhanha";129,46
"290720 Casa Nova";175,01
"290730 Castro Alves";157,11
"290740 Catolândia";125,10
"290750 Catu";276,27
"290755 Caturama";123,22
"290760 Central";162,86
"290770 Chorrochó";136,52
"290780 Cícero Dantas";203,04
"290790 Cipó";198,38
"290800 Coaraci";194,94
"290810 Cocos";161,84
"290820 Conceição da Feira";185,97
"290830 Conceição do Almeida";186,78
"290840 Conceição do Coité";186,70
"290850 Conceição do Jacuípe";276,30
"290860 Conde";156,37
"290870 Condeúba";214,21
"290880 Contendas do Sincorá";190,43
"290890 Coração de Maria";182,42
"290900 Cordeiros";167,00
"290910 Coribe";103,43
"290920 Coronel João Sá";111,23
"290930 Correntina";176,69
"290940 Cotegipe";155,98
"290950 Cravolândia";147,46
"290960 Crisópolis";159,26
"290970 Cristópolis";152,65
"290980 Cruz das Almas";312,29
"290990 Curaçá";187,08
"291000 Dário Meira";105,26
"291005 Dias d'Ávila";290,05
"291010 Dom Basílio";172,84
"291020 Dom Macedo Costa";193,28
"291030 Elísio Medrado";209,88
"291040 Encruzilhada";157,47
"291050 Entre Rios";214,56
"290050 Érico Cardoso";145,57
"291060 Esplanada";163,50
"291070 Euclides da Cunha";155,20
"291072 Eunápolis";385,18
"291075 Fátima";167,99
"291077 Feira da Mata";136,18
"291080 Feira de Santana";407,25
"291085 Filadélfia";103,94
"291090 Firmino Alves";190,42
"291100 Floresta Azul";169,92
"291110 Formosa do Rio Preto";255,70
"291120 Gandu";301,66
"291125 Gavião";157,94
"291130 Gentio do Ouro";106,07
"291140 Glória";154,09
"291150 Gongogi";114,56
"291160 Governador Mangabeira";187,26
"291165 Guajeru";172,16
"291170 Guanambi";300,94
"291180 Guaratinga";159,66
"291185 Heliópolis";151,74
"291190 Iaçu";172,23
"291200 Ibiassucê";209,30
"291210 Ibicaraí";210,04
"291220 Ibicoara";252,29
"291230 Ibicuí";225,41
"291240 Ibipeba";161,51
"291250 Ibipitanga";184,93
"291260 Ibiquera";128,41
"291270 Ibirapitanga";139,36
"291280 Ibirapuã";237,32
"291290 Ibirataia";184,79
"291300 Ibitiara";164,53
"291310 Ibititá";166,32
"291320 Ibotirama";278,39
"291330 Ichu";188,29
"291340 Igaporã";199,84
"291345 Igrapiúna";125,17
"291350 Iguaí";176,02
"291360 Ilhéus";338,80
"291370 Inhambupe";154,96
"291380 Ipecaetá";136,51
"291390 Ipiaú";267,34
"291400 Ipirá";177,33
"291410 Ipupiara";164,54
"291420 Irajuba";138,40
"291430 Iramaia";132,35
"291440 Iraquara";141,59
"291450 Irará";186,51
"291460 Irecê";310,25
"291465 Itabela";191,43
"291470 Itaberaba";239,62
"291480 Itabuna";409,10
"291490 Itacaré";165,47
"291500 Itaeté";116,81
"291510 Itagi";173,10
"291520 Itagibá";147,18
"291530 Itagimirim";281,71
"291535 Itaguaçu da Bahia";132,82
"291540 Itaju do Colônia";183,07
"291550 Itajuípe";193,26
"291560 Itamaraju";284,49
"291570 Itamari";203,95
"291580 Itambé";151,78
"291590 Itanagra";159,89
"291600 Itanhém";234,49
"291610 Itaparica";256,05
"291620 Itapé";150,02
"291630 Itapebi";171,93
"291640 Itapetinga";316,01
"291650 Itapicuru";124,43
"291660 Itapitanga";156,76
"291670 Itaquara";162,70
"291680 Itarantim";191,86
"291685 Itatim";180,79
"291690 Itiruçu";221,53
"291700 Itiúba";135,11
"291710 Itororó";215,01
"291720 Ituaçu";233,64
"291730 Ituberá";186,94
"291733 Iuiú";143,06
"291735 Jaborandi";121,38
"291740 Jacaraci";172,62
"291750 Jacobina";289,20
"291760 Jaguaquara";225,29
"291770 Jaguarari";212,67
"291780 Jaguaripe";145,87
"291790 Jandaíra";114,05
"291800 Jequié";275,73
"291810 Jeremoabo";157,43
"291820 Jiquiriçá";182,52
"291830 Jitaúna";137,17
"291835 João Dourado";194,29
"291840 Juazeiro";345,37
"291845 Jucuruçu";162,72
"291850 Jussara";147,35
"291855 Jussari";168,39
"291860 Jussiape";197,50
"291870 Lafaiete Coutinho";147,18
"291875 Lagoa Real";118,18
"291880 Laje";196,72
"291890 Lajedão";304,24
"291900 Lajedinho";125,73
"291905 Lajedo do Tabocal";176,53
"291910 Lamarão";166,10
"291915 Lapão";203,27
"291920 Lauro de Freitas";635,81
"291930 Lençóis";226,52
"291940 Licínio de Almeida";226,56
"291950 Livramento de Nossa Senhora";224,30
"291960 Macajuba";124,39
"291970 Macarani";183,21
"291980 Macaúbas";150,61
"291990 Macururé";139,40
"291992 Madre de Deus";316,97
"291995 Maetinga";118,15
"292000 Maiquinique";187,76
"292010 Mairi";147,58
"292020 Malhada";116,74
"292030 Malhada de Pedras";138,38
"292040 Manoel Vitorino";131,08
"292045 Mansidão";87,12
"292050 Maracás";143,86
"292060 Maragogipe";162,86
"292070 Maraú";197,07
"292080 Marcionílio Souza";167,38
"292090 Mascote";141,60
"292100 Mata de São João";253,20
"292105 Matina";84,87
"292110 Medeiros Neto";277,67
"292120 Miguel Calmon";173,44
"292130 Milagres";199,22
"292140 Mirangaba";121,59
"292145 Mirante";110,70
"292150 Monte Santo";93,32
"292160 Morpará";155,29
"292170 Morro do Chapéu";211,54
"292180 Mortugaba";167,84
"292190 Mucugê";157,31
"292200 Mucuri";348,35
"292205 Mulungu do Morro";100,15
"292210 Mundo Novo";170,54
"292220 Muniz Ferreira";178,18
"292225 Muquém de São Francisco";158,81
"292230 Muritiba";229,56
"292240 Mutuípe";351,87
"292250 Nazaré";207,90
"292260 Nilo Peçanha";137,74
"292265 Nordestina";120,27
"292270 Nova Canaã";158,60
"292273 Nova Fátima";229,58
"292275 Nova Ibiá";160,18
"292280 Nova Itarana";142,35
"292285 Nova Redenção";139,36
"292290 Nova Soure";143,22
"292300 Nova Viçosa";247,64
"292303 Novo Horizonte";204,92
"292305 Novo Triunfo";117,77
"292310 Olindina";168,94
"292320 Oliveira dos Brejinhos";133,20
"292330 Ouriçangas";141,95
"292335 Ourolândia";133,20
"292340 Palmas de Monte Alto";213,94
"292350 Palmeiras";228,97
"292360 Paramirim";339,31
"292370 Paratinga";96,07
"292380 Paripiranga";184,97
"292390 Pau Brasil";185,21
"292400 Paulo Afonso";334,48
"292405 Pé de Serra";133,01
"292410 Pedrão";111,74
"292420 Pedro Alexandre";101,04
"292430 Piatã";143,82
"292440 Pilão Arcado";89,49
"292450 Pindaí";156,71
"292460 Pindobaçu";150,96
"292465 Pintadas";168,09
"292467 Piraí do Norte";117,89
"292470 Piripá";147,30
"292480 Piritiba";175,59
"292490 Planaltino";146,38
"292500 Planalto";180,55
"292510 Poções";204,70
"292520 Pojuca";271,79
"292525 Ponto Novo";114,50
"292530 Porto Seguro";381,84
"292540 Potiraguá";131,09
"292550 Prado";301,98
"292560 Presidente Dutra";175,51
"292570 Presidente Jânio Quadros";135,53
"292575 Presidente Tancredo Neves";165,80
"292580 Queimadas";159,18
"292590 Quijingue";108,76
"292593 Quixabeira";123,52
"292595 Rafael Jambeiro";109,82
"292600 Remanso";189,70
"292610 Retirolândia";212,45
"292620 Riachão das Neves";110,73
"292630 Riachão do Jacuípe";204,24
"292640 Riacho de Santana";138,08
"292650 Ribeira do Amparo";128,90
"292660 Ribeira do Pombal";213,91
"292665 Ribeirão do Largo";152,01
"292670 Rio de Contas";190,54
"292680 Rio do Antônio";130,08
"292690 Rio do Pires";197,88
"292700 Rio Real";189,50
"292710 Rodelas";256,94
"292720 Ruy Barbosa";168,54
"292730 Salinas da Margarida";145,46
"292740 Salvador";671,61
"292750 Santa Bárbara";148,39
"292760 Santa Brígida";99,68
"292770 Santa Cruz Cabrália";334,84
"292780 Santa Cruz da Vitória";149,99
"292790 Santa Inês";197,15
"292805 Santa Luzia";137,92
"292810 Santa Maria da Vitória";189,77
"292840 Santa Rita de Cássia";147,77
"292850 Santa Teresinha";146,97
"292800 Santaluz";229,55
"292820 Santana";194,89
"292830 Santanópolis";132,55
"292860 Santo Amaro";243,58
"292870 Santo Antônio de Jesus";309,87
"292880 Santo Estêvão";177,30
"292890 São Desidério";161,69
"292895 São Domingos";172,58
"292910 São Felipe";202,28
"292900 São Félix";218,52
"292905 São Félix do Coribe";196,40
"292920 São Francisco do Conde";244,66
"292925 São Gabriel";214,11
"292930 São Gonçalo dos Campos";220,51
"292935 São José da Vitória";141,33
"292937 São José do Jacuípe";132,08
"292940 São Miguel das Matas";202,96
"292950 São Sebastião do Passé";248,22
"292960 Sapeaçu";193,71
"292970 Sátiro Dias";97,83
"292975 Saubara";203,67
"292980 Saúde";150,44
"292990 Seabra";217,97
"293000 Sebastião Laranjeiras";177,19
"293010 Senhor do Bonfim";332,01
"293020 Sento Sé";141,14
"293015 Serra do Ramalho";119,29
"293030 Serra Dourada";150,06
"293040 Serra Preta";142,29
"293050 Serrinha";203,09
"293060 Serrolândia";161,69
"293070 Simões Filho";292,28
"293075 Sítio do Mato";101,64
"293076 Sítio do Quinto";210,62
"293077 Sobradinho";263,24
"293080 Souto Soares";152,38
"293090 Tabocas do Brejo Velho";130,93
"293100 Tanhaçu";237,50
"293105 Tanque Novo";140,19
"293110 Tanquinho";209,57
"293120 Taperoá";150,99
"293130 Tapiramutá";162,17
"293135 Teixeira de Freitas";391,68
"293140 Teodoro Sampaio";156,79
"293150 Teofilândia";169,71
"293160 Teolândia";119,75
"293170 Terra Nova";161,45
"293180 Tremedal";155,31
"293190 Tucano";146,97
"293200 Uauá";165,89
"293210 Ubaíra";172,16
"293220 Ubaitaba";196,42
"293230 Ubatã";213,09
"293240 Uibaí";187,34
"293245 Umburanas";134,63
"293250 Una";161,62
"293260 Urandi";202,88
"293270 Uruçuca";163,18
"293280 Utinga";154,45
"293290 Valença";259,61
"293300 Valente";213,09
"293305 Várzea da Roça";129,68
"293310 Várzea do Poço";166,79
"293315 Várzea Nova";153,62
"293317 Varzedo";150,95
"293320 Vera Cruz";273,83
"293325 Vereda";171,96
"293330 Vitória da Conquista";403,78
"293340 Wagner";210,31
"293345 Wanderley";186,19
"293350 Wenceslau Guimarães";141,04
"293360 Xique-Xique";143,63
"310010 Abadia dos Dourados";363,66
"310020 Abaeté";498,19
"310030 Abre Campo";308,59
"310040 Acaiaca";268,19
"310050 Açucena";178,42
"310060 Água Boa";243,44
"310070 Água Comprida";513,75
"310080 Aguanil";417,01
"310090 Águas Formosas";225,97
"310100 Águas Vermelhas";186,12
"310110 Aimorés";352,14
"310120 Aiuruoca";443,98
"310130 Alagoa";281,76
"310140 Albertina";424,36
"310150 Além Paraíba";578,73
"310160 Alfenas";701,56
"310163 Alfredo Vasconcelos";280,98
"310170 Almenara";322,83
"310180 Alpercata";291,31
"310190 Alpinópolis";473,71
"310200 Alterosa";377,21
"310205 Alto Caparaó";584,71
"315350 Alto Jequitibá";357,75
"310210 Alto Rio Doce";242,29
"310220 Alvarenga";208,49
"310230 Alvinópolis";321,02
"310240 Alvorada de Minas";215,13
"310250 Amparo do Serra";231,62
"310260 Andradas";708,97
"310280 Andrelândia";416,78
"310285 Angelândia";285,84
"310290 Antônio Carlos";335,54
"310300 Antônio Dias";235,72
"310310 Antônio Prado de Minas";344,53
"310320 Araçaí";312,48
"310330 Aracitaba";279,54
"310340 Araçuaí";259,47
"310350 Araguari";634,56
"310360 Arantina";278,42
"310370 Araponga";183,41
"310375 Araporã";555,66
"310380 Arapuá";549,95
"310390 Araújos";415,74
"310400 Araxá";662,88
"310410 Arceburgo";448,02
"310420 Arcos";521,26
"310430 Areado";551,83
"310440 Argirita";344,63
"310445 Aricanduva";150,11
"310450 Arinos";240,18
"310460 Astolfo Dutra";431,80
"310470 Ataléia";221,42
"310480 Augusto de Lima";276,24
"310490 Baependi";384,83
"310500 Baldim";314,60
"310510 Bambuí";481,17
"310520 Bandeira";165,72
"310530 Bandeira do Sul";466,79
"310540 Barão de Cocais";340,86
"310550 Barão de Monte Alto";258,79
"310560 Barbacena";559,14
"310570 Barra Longa";226,67
"310590 Barroso";365,15
"310600 Bela Vista de Minas";311,64
"310610 Belmiro Braga";295,30
"310620 Belo Horizonte";1097,23
"310630 Belo Oriente";268,64
"310640 Belo Vale";313,87
"310650 Berilo";182,08
"310665 Berizal";112,28
"310660 Bertópolis";173,89
"310670 Betim";400,72
"310680 Bias Fortes";199,35
"310690 Bicas";658,14
"310700 Biquinhas";346,43
"310710 Boa Esperança";548,26
"310720 Bocaina de Minas";374,20
"310730 Bocaiúva";283,81
"310740 Bom Despacho";603,60
"310750 Bom Jardim de Minas";308,82
"310760 Bom Jesus da Penha";722,05
"310770 Bom Jesus do Amparo";362,76
"310780 Bom Jesus do Galho";213,92
"310790 Bom Repouso";487,21
"310800 Bom Sucesso";411,12
"310810 Bonfim";305,38
"310820 Bonfinópolis de Minas";311,70
"310825 Bonito de Minas";84,18
"310830 Borda da Mata";546,26
"310840 Botelhos";682,65
"310850 Botumirim";136,81
"310870 Brás Pires";175,56
"310855 Brasilândia de Minas";371,02
"310860 Brasília de Minas";224,69
"310880 Braúnas";189,09
"310890 Brazópolis";461,39
"310900 Brumadinho";539,90
"310910 Bueno Brandão";476,38
"310920 Buenópolis";307,42
"310925 Bugre";171,37
"310930 Buritis";487,05
"310940 Buritizeiro";204,52
"310945 Cabeceira Grande";283,60
"310950 Cabo Verde";670,55
"310960 Cachoeira da Prata";408,12
"310970 Cachoeira de Minas";385,42
"310270 Cachoeira de Pajeú";155,25
"310980 Cachoeira Dourada";487,88
"310990 Caetanópolis";465,20
"311000 Caeté";509,88
"311010 Caiana";402,08
"311020 Cajuri";280,67
"311030 Caldas";512,88
"311040 Camacho";234,65
"311050 Camanducaia";504,15
"311060 Cambuí";502,75
"311070 Cambuquira";527,34
"311080 Campanário";272,14
"311090 Campanha";557,19
"311100 Campestre";452,47
"311110 Campina Verde";527,95
"311115 Campo Azul";144,95
"311120 Campo Belo";478,93
"311130 Campo do Meio";393,01
"311140 Campo Florido";425,54
"311150 Campos Altos";491,93
"311160 Campos Gerais";410,78
"311190 Cana Verde";378,54
"311170 Canaã";221,65
"311180 Canápolis";381,00
"311200 Candeias";415,35
"311205 Cantagalo";186,02
"311210 Caparaó";355,33
"311220 Capela Nova";226,01
"311230 Capelinha";285,32
"311240 Capetinga";462,49
"311250 Capim Branco";337,01
"311260 Capinópolis";468,13
"311265 Capitão Andrade";207,66
"311270 Capitão Enéas";198,07
"311280 Capitólio";496,11
"311290 Caputira";348,22
"311300 Caraí";165,93
"311310 Caranaíba";210,09
"311320 Carandaí";308,94
"311330 Carangola";630,61
"311340 Caratinga";476,75
"311350 Carbonita";206,04
"311360 Careaçu";446,89
"311370 Carlos Chagas";324,08
"311380 Carmésia";242,88
"311390 Carmo da Cachoeira";396,82
"311400 Carmo da Mata";465,25
"311410 Carmo de Minas";388,70
"311420 Carmo do Cajuru";377,58
"311430 Carmo do Paranaíba";546,79
"311440 Carmo do Rio Claro";844,02
"311450 Carmópolis de Minas";415,61
"311455 Carneirinho";500,20
"311460 Carrancas";353,42
"311470 Carvalhópolis";301,14
"311480 Carvalhos";273,47
"311490 Casa Grande";306,38
"311500 Cascalho Rico";434,75
"311510 Cássia";504,32
"311530 Cataguases";500,87
"311535 Catas Altas";295,12
"311540 Catas Altas da Noruega";175,85
"311545 Catuji";169,85
"311547 Catuti";122,54
"311550 Caxambu";521,84
"311560 Cedro do Abaeté";264,61
"311570 Central de Minas";282,29
"311580 Centralina";648,43
"311590 Chácara";355,33
"311600 Chalé";290,24
"311610 Chapada do Norte";177,66
"311615 Chapada Gaúcha";255,21
"311620 Chiador";341,97
"311630 Cipotânea";153,54
"311640 Claraval";340,72
"311650 Claro dos Poções";204,87
"311660 Cláudio";401,03
"311670 Coimbra";340,84
"311680 Coluna";225,41
"311690 Comendador Gomes";779,36
"311700 Comercinho";113,98
"311710 Conceição da Aparecida";605,20
"311520 Conceição da Barra de Minas";242,93
"311730 Conceição das Alagoas";575,34
"311720 Conceição das Pedras";319,67
"311740 Conceição de Ipanema";347,84
"311750 Conceição do Mato Dentro";218,79
"311760 Conceição do Pará";281,81
"311770 Conceição do Rio Verde";482,63
"311780 Conceição dos Ouros";410,64
"311783 Cônego Marinho";92,62
"311787 Confins";345,50
"311790 Congonhal";378,42
"311800 Congonhas";435,26
"311810 Congonhas do Norte";213,29
"311820 Conquista";565,92
"311830 Conselheiro Lafaiete";507,53
"311840 Conselheiro Pena";414,14
"311850 Consolação";246,39
"311860 Contagem";552,01
"311870 Coqueiral";381,15
"311880 Coração de Jesus";229,61
"311890 Cordisburgo";358,62
"311900 Cordislândia";317,93
"311910 Corinto";378,42
"311920 Coroaci";279,65
"311930 Coromandel";493,50
"311940 Coronel Fabriciano";509,58
"311950 Coronel Murta";184,01
"311960 Coronel Pacheco";400,90
"311970 Coronel Xavier Chaves";249,66
"311980 Córrego Danta";437,06
"311990 Córrego do Bom Jesus";329,41
"311995 Córrego Fundo";321,26
"312000 Córrego Novo";219,04
"312010 Couto de Magalhães de Minas";258,54
"312015 Crisólita";182,26
"312020 Cristais";480,34
"312030 Cristália";132,63
"312040 Cristiano Otoni";303,06
"312050 Cristina";337,13
"312060 Crucilândia";313,32
"312070 Cruzeiro da Fortaleza";523,04
"312080 Cruzília";373,52
"312083 Cuparaque";276,76
"312087 Curral de Dentro";148,14
"312090 Curvelo";413,76
"312100 Datas";168,61
"312110 Delfim Moreira";311,35
"312120 Delfinópolis";398,98
"312125 Delta";396,24
"312130 Descoberto";364,54
"312140 Desterro de Entre Rios";219,69
"312150 Desterro do Melo";238,90
"312160 Diamantina";417,47
"312170 Diogo de Vasconcelos";150,59
"312180 Dionísio";234,98
"312190 Divinésia";320,92
"312200 Divino";306,95
"312210 Divino das Laranjeiras";399,68
"312220 Divinolândia de Minas";228,25
"312230 Divinópolis";643,67
"312235 Divisa Alegre";185,96
"312240 Divisa Nova";380,03
"312245 Divisópolis";183,98
"312247 Dom Bosco";246,26
"312250 Dom Cavati";386,36
"312260 Dom Joaquim";225,02
"312270 Dom Silvério";347,33
"312280 Dom Viçoso";250,31
"312290 Dona Eusébia";345,22
"312300 Dores de Campos";362,79
"312310 Dores de Guanhães";232,79
"312320 Dores do Indaiá";467,05
"312330 Dores do Turvo";275,89
"312340 Doresópolis";305,42
"312350 Douradoquara";416,67
"312352 Durandé";340,81
"312360 Elói Mendes";537,50
"312370 Engenheiro Caldas";252,40
"312380 Engenheiro Navarro";185,99
"312385 Entre Folhas";238,54
"312390 Entre Rios de Minas";363,43
"312400 Ervália";337,48
"312410 Esmeraldas";364,57
"312420 Espera Feliz";348,98
"312430 Espinosa";212,24
"312440 Espírito Santo do Dourado";394,29
"312450 Estiva";484,07
"312460 Estrela Dalva";512,94
"312470 Estrela do Indaiá";369,77
"312480 Estrela do Sul";309,71
"312490 Eugenópolis";410,67
"312500 Ewbank da Câmara";299,72
"312510 Extrema";545,15
"312520 Fama";500,66
"312530 Faria Lemos";378,26
"312540 Felício dos Santos";141,96
"312560 Felisburgo";199,21
"312570 Felixlândia";292,12
"312580 Fernandes Tourinho";183,97
"312590 Ferros";222,52
"312595 Fervedouro";261,49
"312600 Florestal";414,24
"312610 Formiga";501,00
"312620 Formoso";306,26
"312630 Fortaleza de Minas";360,04
"312640 Fortuna de Minas";308,38
"312650 Francisco Badaró";176,17
"312660 Francisco Dumont";188,69
"312670 Francisco Sá";200,71
"312675 Franciscópolis";117,32
"312680 Frei Gaspar";152,91
"312690 Frei Inocêncio";298,15
"312695 Frei Lagonegro";121,56
"312700 Fronteira";493,30
"312705 Fronteira dos Vales";121,91
"312707 Fruta de Leite";100,50
"312710 Frutal";593,16
"312720 Funilândia";320,92
"312730 Galiléia";284,39
"312733 Gameleiras";125,12
"312735 Glaucilândia";180,41
"312737 Goiabeira";225,98
"312738 Goianá";402,72
"312740 Gonçalves";393,70
"312750 Gonzaga";151,90
"312760 Gouveia";280,44
"312770 Governador Valadares";608,44
"312780 Grão Mogol";202,31
"312790 Grupiara";299,39
"312800 Guanhães";330,31
"312810 Guapé";371,62
"312820 Guaraciaba";229,97
"312825 Guaraciama";173,20
"312830 Guaranésia";530,01
"312840 Guarani";373,97
"312850 Guarará";465,44
"312860 Guarda-Mor";444,13
"312870 Guaxupé";591,62
"312880 Guidoval";427,73
"312890 Guimarânia";455,14
"312900 Guiricema";276,41
"312910 Gurinhatã";436,31
"312920 Heliodora";397,73
"312930 Iapu";255,80
"312940 Ibertioga";267,32
"312950 Ibiá";774,93
"312960 Ibiaí";177,20
"312965 Ibiracatu";109,76
"312970 Ibiraci";485,98
"312980 Ibirité";294,44
"312990 Ibitiúra de Minas";504,11
"313000 Ibituruna";306,76
"313005 Icaraí de Minas";136,51
"313010 Igarapé";391,89
"313020 Igaratinga";360,31
"313030 Iguatama";504,03
"313040 Ijaci";324,54
"313050 Ilicínea";464,75
"313055 Imbé de Minas";253,24
"313060 Inconfidentes";514,32
"313065 Indaiabira";146,94
"313070 Indianópolis";499,09
"313080 Ingaí";534,40
"313090 Inhapim";295,86
"313100 Inhaúma";312,99
"313110 Inimutaba";221,42
"313115 Ipaba";239,24
"313120 Ipanema";340,38
"313130 Ipatinga";605,20
"313140 Ipiaçu";517,48
"313150 Ipuiúna";675,89
"313160 Iraí de Minas";437,49
"313170 Itabira";519,82
"313180 Itabirinha";297,50
"313190 Itabirito";496,25
"313200 Itacambira";113,26
"313210 Itacarambi";182,00
"313220 Itaguara";417,20
"313230 Itaipé";204,19
"313240 Itajubá";689,42
"313250 Itamarandiba";214,87
"313260 Itamarati de Minas";412,76
"313270 Itambacuri";303,52
"313280 Itambé do Mato Dentro";205,73
"313290 Itamogi";461,24
"313300 Itamonte";460,81
"313310 Itanhandu";597,31
"313320 Itanhomi";264,52
"313330 Itaobim";243,75
"313340 Itapagipe";478,42
"313350 Itapecerica";444,11
"313360 Itapeva";415,10
"313370 Itatiaiuçu";329,51
"313375 Itaú de Minas";513,26
"313380 Itaúna";620,04
"313390 Itaverava";161,62
"313400 Itinga";122,29
"313410 Itueta";287,37
"313420 Ituiutaba";598,46
"313430 Itumirim";374,36
"313440 Iturama";664,89
"313450 Itutinga";352,24
"313460 Jaboticatubas";377,70
"313470 Jacinto";177,69
"313480 Jacuí";385,51
"313490 Jacutinga";737,94
"313500 Jaguaraçu";268,94
"313505 Jaíba";227,44
"313507 Jampruca";190,48
"313510 Janaúba";303,78
"313520 Januária";230,70
"313530 Japaraíba";398,17
"313535 Japonvar";106,96
"313540 Jeceaba";291,40
"313545 Jenipapo de Minas";184,39
"313550 Jequeri";211,05
"313560 Jequitaí";212,84
"313570 Jequitibá";317,76
